PackageId,PackageName,PackageVersion,LicenseName,Relation,IsDev,IsTest,State,Severity,Score,Message,IsViolatingPolicy,LicenseId,LicenseScore
"Maven-com.h2database:h2-2.2.224","com.h2database:h2","2.2.224","","Direct",True,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-com.sun.istack:istack-commons-runtime-4.1.1","com.sun.istack:istack-commons-runtime","4.1.1","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-jakarta.activation:jakarta.activation-api-2.1.3","jakarta.activation:jakarta.activation-api","2.1.3","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-jakarta.annotation:jakarta.annotation-api-2.1.1","jakarta.annotation:jakarta.annotation-api","2.1.1","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-jakarta.persistence:jakarta.persistence-api-3.1.0","jakarta.persistence:jakarta.persistence-api","3.1.0","","Mixed",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-jakarta.transaction:jakarta.transaction-api-2.0.1","jakarta.transaction:jakarta.transaction-api","2.0.1","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-jakarta.xml.bind:jakarta.xml.bind-api-4.0.2","jakarta.xml.bind:jakarta.xml.bind-api","4.0.2","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-org.eclipse.angus:angus-activation-2.0.0","org.eclipse.angus:angus-activation","2.0.0","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-org.glassfish.jaxb:jaxb-core-4.0.2","org.glassfish.jaxb:jaxb-core","4.0.2","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-org.glassfish.jaxb:jaxb-runtime-4.0.2","org.glassfish.jaxb:jaxb-runtime","4.0.2","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-org.glassfish.jaxb:txw2-4.0.2","org.glassfish.jaxb:txw2","4.0.2","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
"Maven-org.hdrhistogram:HdrHistogram-2.2.2","org.hdrhistogram:HdrHistogram","2.2.2","","Transitive",False,False,"ToVerify","None",,"No license has been marked as effective for this package.",False,,
