Id,Name,Version,Description,Supplier,ExecutableProperty,Licenses,Copyright,MatchType,CriticalVulnerabilityCount,HighVulnerabilityCount,MediumVulnerabilityCount,LowVulnerabilityCount,NoneVulnerabilityCount,NumberOfVersionsSinceLastUpdate,NewestVersionReleaseDate,NewestVersion,Outdated,ReleaseDate,RiskScore,Severity,Locations,PackageRepository,IsMalicious,IsDirectDependency,IsDevelopmentDependency,IsTestDependency,IsNpmVerified,IsViolatingPolicy,UsageType,DependencyType,VulnerabilityCount,IsPrivatePackage,PackagePaths,NextVersionWithoutVulnerabilities,LatestVersionWithoutVulnerabilities,NextRecommendedMoreSecureVersion,LatestRecommendedMoreSecureVersion,PackageState,PackageStateValue,PackageStateLastUpdateDate,PackageStateLastUpdateUser,PackageStateLastUpdateComment
"Maven-org.springframework.boot:spring-boot-starter-actuator-3.4.6","org.springframework.boot:spring-boot-starter-actuator","3.4.6",,"SonaType","No",["Apache 2.0"],"Copyright (c) 2012-2025 VMware, Inc.","Filename",0,2,0,0,0,36,2026-03-26T10:02:00.000Z,"4.1.0-M4",True,2025-05-22T11:53:22.000Z,8.2,"HIGH",["pom.xml"],"Maven",False,True,False,False,False,False,"Package source code not available","Direct",2,False,[],"3.5.12","4.1.0-M4","3.5.12","4.1.0-M4","Monitored",,,,
"Maven-com.fasterxml:classmate-1.7.0","com.fasterxml:classmate","1.7.0",,"SonaType","No",["Apache 2.0"],"Copyright 2007-, Tatu Saloranta (tatu.saloranta@iki.fi)","Filename",0,0,0,0,0,3,2026-01-02T19:39:00.000Z,"1.7.3",True,2024-01-03T01:13:09.797Z,0,"NONE",["pom.xml"],"Maven",False,False,False,False,False,False,"Potentially","Transitive",0,False,[[{"Id":"Maven-org.hibernate.orm:hibernate-core-6.5.2.Final";"Name":"org.hibernate.orm:hibernate-core";"Version":"6.5.2.Final";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml:classmate-1.7.0";"Name":"com.fasterxml:classmate";"Version":"1.7.0";"IsResolved":true;"IsDevelopment":false}];[{"Id":"Maven-org.springframework.boot:spring-boot-starter-validation-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-validation";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-org.hibernate.validator:hibernate-validator-8.0.2.Final";"Name":"org.hibernate.validator:hibernate-validator";"Version":"8.0.2.Final";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml:classmate-1.7.0";"Name":"com.fasterxml:classmate";"Version":"1.7.0";"IsResolved":true;"IsDevelopment":false}]],,,,,"Monitored",,,,
"Maven-com.fasterxml.jackson.core:jackson-annotations-2.18.6","com.fasterxml.jackson.core:jackson-annotations","2.18.6",,"SonaType","No",["Apache 2.0"],"Copyright 2007-, Tatu Saloranta (tatu.saloranta@iki.fi)","Filename",0,0,0,0,0,1,2026-04-24T20:14:00.000Z,"2.18.7",True,2026-02-22T23:05:00.000Z,0,"NONE",["pom.xml"],"Maven",False,True,False,False,False,False,"Used","Mixed",0,False,[[{"Id":"Maven-com.fasterxml.jackson.core:jackson-annotations-2.18.6";"Name":"com.fasterxml.jackson.core:jackson-annotations";"Version":"2.18.6";"IsResolved":true;"IsDevelopment":false}];[{"Id":"Maven-com.fasterxml.jackson.core:jackson-databind-2.18.6";"Name":"com.fasterxml.jackson.core:jackson-databind";"Version":"2.18.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml.jackson.core:jackson-annotations-2.18.6";"Name":"com.fasterxml.jackson.core:jackson-annotations";"Version":"2.18.6";"IsResolved":true;"IsDevelopment":false}]],,,,,"Monitored",,,,
"Maven-com.fasterxml.jackson.core:jackson-core-2.18.6","com.fasterxml.jackson.core:jackson-core","2.18.6",,"SonaType","No",["Apache 2.0"],"Copyright 2007-, Tatu Saloranta (tatu.saloranta@iki.fi);Copyright © 2023 Werner Randelshofer, Switzerland. MIT License.;Copyright (c) 2007- Tatu Saloranta, tatu.saloranta@iki.fi;Copyright 2018-2020 Raffaello Giulietti","Filename",0,0,0,0,0,6,2026-03-20T16:30:00.000Z,"2.21.2",True,2026-02-22T23:18:00.000Z,0,"NONE",["pom.xml"],"Maven",False,True,False,False,False,False,"Used","Mixed",0,False,[[{"Id":"Maven-com.fasterxml.jackson.core:jackson-core-2.18.6";"Name":"com.fasterxml.jackson.core:jackson-core";"Version":"2.18.6";"IsResolved":true;"IsDevelopment":false}];[{"Id":"Maven-com.fasterxml.jackson.core:jackson-databind-2.18.6";"Name":"com.fasterxml.jackson.core:jackson-databind";"Version":"2.18.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml.jackson.core:jackson-core-2.18.6";"Name":"com.fasterxml.jackson.core:jackson-core";"Version":"2.18.6";"IsResolved":true;"IsDevelopment":false}]],,,,,"Monitored",,,,
"Maven-com.fasterxml.jackson.core:jackson-databind-2.18.6","com.fasterxml.jackson.core:jackson-databind","2.18.6",,"SonaType","No",["Apache 2.0"],"Copyright 2007-, Tatu Saloranta (tatu.saloranta@iki.fi)","Filename",0,0,0,0,0,6,2026-03-20T16:42:00.000Z,"2.21.2",True,2026-02-22T23:29:00.000Z,0,"NONE",["pom.xml"],"Maven",False,True,False,False,False,False,"Used","Direct",0,False,[],,,,,"Monitored",,,,
"Maven-com.fasterxml.jackson.datatype:jackson-datatype-jdk8-2.18.4","com.fasterxml.jackson.datatype:jackson-datatype-jdk8","2.18.4",,"SonaType","No",["Apache 2.0"],,"Filename",0,0,0,0,0,17,2026-03-20T17:10:00.000Z,"2.21.2",True,2025-05-07T01:00:21.680Z,0,"NONE",["pom.xml"],"Maven",False,False,False,False,False,False,"Unused","Transitive",0,False,[[{"Id":"Maven-org.springframework.boot:spring-boot-starter-web-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-web";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-org.springframework.boot:spring-boot-starter-json-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-json";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml.jackson.datatype:jackson-datatype-jdk8-2.18.4";"Name":"com.fasterxml.jackson.datatype:jackson-datatype-jdk8";"Version":"2.18.4";"IsResolved":true;"IsDevelopment":false}]],,,,,"Monitored",,,,
"Maven-com.fasterxml.jackson.datatype:jackson-datatype-jsr310-2.18.4","com.fasterxml.jackson.datatype:jackson-datatype-jsr310","2.18.4",,"SonaType","No",["Apache 2.0"],"Copyright 2013 FasterXML.com","Filename",0,0,0,0,0,18,2026-03-20T17:10:00.000Z,"2.21.2",True,2025-05-07T01:00:20.165Z,0,"NONE",["pom.xml"],"Maven",False,False,False,False,False,False,"Used","Transitive",0,False,[[{"Id":"Maven-org.springframework.boot:spring-boot-starter-actuator-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-actuator";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-org.springframework.boot:spring-boot-actuator-autoconfigure-3.4.6";"Name":"org.springframework.boot:spring-boot-actuator-autoconfigure";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml.jackson.datatype:jackson-datatype-jsr310-2.18.4";"Name":"com.fasterxml.jackson.datatype:jackson-datatype-jsr310";"Version":"2.18.4";"IsResolved":true;"IsDevelopment":false}];[{"Id":"Maven-org.springframework.boot:spring-boot-starter-web-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-web";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-org.springframework.boot:spring-boot-starter-json-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-json";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml.jackson.datatype:jackson-datatype-jsr310-2.18.4";"Name":"com.fasterxml.jackson.datatype:jackson-datatype-jsr310";"Version":"2.18.4";"IsResolved":true;"IsDevelopment":false}]],,,,,"Monitored",,,,
"Maven-com.fasterxml.jackson.module:jackson-module-parameter-names-2.18.4","com.fasterxml.jackson.module:jackson-module-parameter-names","2.18.4",,"SonaType","No",["Apache 2.0"],,"Filename",0,0,0,0,0,16,2026-03-20T17:10:00.000Z,"2.21.2",True,2025-05-07T01:00:18.983Z,0,"NONE",["pom.xml"],"Maven",False,False,False,False,False,False,"Unused","Transitive",0,False,[[{"Id":"Maven-org.springframework.boot:spring-boot-starter-web-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-web";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-org.springframework.boot:spring-boot-starter-json-3.4.6";"Name":"org.springframework.boot:spring-boot-starter-json";"Version":"3.4.6";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.fasterxml.jackson.module:jackson-module-parameter-names-2.18.4";"Name":"com.fasterxml.jackson.module:jackson-module-parameter-names";"Version":"2.18.4";"IsResolved":true;"IsDevelopment":false}]],,,,,"Monitored",,,,
"Maven-com.fasterxml.jackson.module:jackson-modules-java8-2.13.2","com.fasterxml.jackson.module:jackson-modules-java8","2.13.2",,"SonaType","No",["Apache 2.0"],,"Filename",0,0,0,0,0,41,2026-03-20T17:10:00.000Z,"2.21.2",True,2022-03-06T21:23:49.000Z,0,"NONE",["pom.xml"],"Maven",False,True,False,False,False,False,"Package source code not available","Direct",0,False,[],,,,,"Monitored",,,,
"Maven-com.google.android:annotations-4.1.1.4","com.google.android:annotations","4.1.1.4",,"Redhat,SonaType","No",["Apache 2.0"],"Copyright (C) 2012 The Android Open Source Project","Filename",0,0,0,0,0,0,,,False,2021-12-14T19:31:51.000Z,0,"NONE",["pom.xml"],"Maven",False,False,False,False,False,False,"Potentially","Transitive",0,False,[[{"Id":"Maven-net.devh:grpc-client-spring-boot-starter-3.1.0.RELEASE";"Name":"net.devh:grpc-client-spring-boot-starter";"Version":"3.1.0.RELEASE";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-net.devh:grpc-common-spring-boot-3.1.0.RELEASE";"Name":"net.devh:grpc-common-spring-boot";"Version":"3.1.0.RELEASE";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-io.grpc:grpc-core-1.76.0";"Name":"io.grpc:grpc-core";"Version":"1.76.0";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.google.android:annotations-4.1.1.4";"Name":"com.google.android:annotations";"Version":"4.1.1.4";"IsResolved":true;"IsDevelopment":false}];[{"Id":"Maven-net.devh:grpc-server-spring-boot-starter-3.1.0.RELEASE";"Name":"net.devh:grpc-server-spring-boot-starter";"Version":"3.1.0.RELEASE";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-net.devh:grpc-common-spring-boot-3.1.0.RELEASE";"Name":"net.devh:grpc-common-spring-boot";"Version":"3.1.0.RELEASE";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-io.grpc:grpc-core-1.76.0";"Name":"io.grpc:grpc-core";"Version":"1.76.0";"IsResolved":true;"IsDevelopment":false};{"Id":"Maven-com.google.android:annotations-4.1.1.4";"Name":"com.google.android:annotations";"Version":"4.1.1.4";"IsResolved":true;"IsDevelopment":false}]],,,,,"Monitored",,,,
